RESUMEN DE RESULTADOS

Configuración,Mejor Fitness,Fitness Promedio Final,Desv. Estándar Final,Tiempo (s),Mutación Rate,Mutación Strength,Cruce,Selección,Elitismo
Baseline (Referencia Estándar),500.00,341.34,208.47,213.7,0.1,0.3,uniform,tournament,2
Alta Mutación (Exploración Agresiva),500.00,386.72,185.99,201.1,0.3,0.8,uniform,tournament,2
Alto Elitismo (Convergencia Rápida),500.00,273.93,208.67,254.0,0.05,0.2,single_point,tournament,10
Mutación Adaptativa (Exploración a Explotación),500.00,458.76,120.74,321.3,0.2,0.6,two_point,tournament,3
Diversidad Máxima (Rango + Blend),500.00,179.84,175.69,91.2,0.15,0.4,blend,rank,2


DETALLE: Baseline (Referencia Estándar)
Generación,Mejor Fitness,Fitness Promedio,Peor Fitness,Desv. Estándar,Fuerza Mutación
36,500.00,303.81,9.20,192.83,0.8000
37,500.00,272.44,10.20,201.67,0.8000
38,500.00,332.29,9.20,181.58,0.8000
39,500.00,252.82,9.20,201.17,0.8000
40,500.00,269.00,9.20,204.05,0.8000
41,500.00,317.83,9.20,194.73,0.8000
42,500.00,305.11,9.20,208.00,0.8000
43,500.00,279.82,9.20,199.12,0.8000
44,500.00,314.40,9.20,201.99,0.8000
45,500.00,267.37,9.20,200.00,0.8000
46,500.00,261.78,9.20,210.64,0.8000
47,500.00,270.52,9.20,213.09,0.8000
48,500.00,232.90,9.20,212.41,0.8000
49,500.00,228.89,9.20,196.91,0.8000
50,500.00,237.49,9.20,209.48,0.8000
51,500.00,229.91,9.20,190.79,0.8000
52,500.00,307.56,9.20,195.89,0.8000
53,500.00,245.19,9.20,203.69,0.8000
54,500.00,276.48,9.20,205.28,0.8000
55,500.00,266.28,9.20,222.89,0.8000
56,500.00,309.39,9.20,199.28,0.8000
57,500.00,310.32,9.20,202.76,0.8000
58,500.00,285.74,9.20,196.31,0.8000
59,500.00,333.50,9.20,186.39,0.8000
60,500.00,354.41,9.20,169.63,0.8000
61,500.00,326.12,9.20,195.02,0.8000
62,500.00,352.12,9.20,197.35,0.8000
63,500.00,282.79,9.20,210.40,0.8000
64,500.00,363.21,9.20,185.99,0.8000
65,500.00,390.86,9.20,160.81,0.8000
66,500.00,386.52,9.20,162.81,0.8000
67,500.00,302.89,9.20,194.11,0.8000
68,500.00,285.25,9.20,187.00,0.8000
69,500.00,308.70,9.20,187.22,0.8000
70,500.00,321.99,9.20,199.66,0.8000
71,500.00,376.44,9.20,189.58,0.8000
72,500.00,347.50,9.20,205.85,0.8000
73,500.00,385.54,9.20,184.61,0.8000
74,500.00,342.41,9.20,197.59,0.8000
75,500.00,380.01,9.20,180.23,0.8000
76,500.00,340.76,9.20,193.21,0.8000
77,500.00,349.58,9.20,196.24,0.8000
78,500.00,399.00,9.20,163.13,0.8000
79,500.00,327.46,9.20,205.10,0.8000
80,500.00,386.72,9.20,185.99,0.0000

DETALLE: Alto Elitismo (Convergencia Rápida)
Generación,Mejor Fitness,Fitness Promedio,Peor Fitness,Desv. Estándar,Fuerza Mutación
0,69.60,11.30,9.20,9.00,0.2000
1,351.20,32.65,9.20,57.50,0.2000
2,351.20,67.58,9.20,75.45,0.2000
3,500.00,120.85,9.20,145.39,0.2000
4,500.00,200.55,9.20,195.83,0.2000
5,500.00,233.91,9.20,204.44,0.2000
6,500.00,293.65,9.20,220.67,0.2000
7,500.00,288.60,9.20,215.98,0.2000
8,500.00,300.76,9.20,212.52,0.2000
9,500.00,350.44,9.20,196.08,0.2000
10,500.00,328.14,9.20,200.64,0.2000
11,500.00,292.99,9.20,219.37,0.2000
12,500.00,251.49,9.20,223.37,0.2000
13,500.00,264.73,9.20,209.91,0.2000
14,500.00,291.38,9.20,222.14,0.2000
15,500.00,296.91,9.20,220.51,0.2000
16,500.00,339.69,9.20,208.85,0.2000
17,500.00,269.33,9.20,213.33,0.2000
18,500.00,287.92,9.20,215.77,0.2000
19,500.00,311.72,9.20,220.62,0.2000
20,500.00,330.49,9.20,205.74,0.2000
21,500.00,326.05,9.20,213.01,0.2000
22,500.00,284.44,9.20,210.54,0.2000
23,500.00,340.15,9.20,193.96,0.2000
24,500.00,307.11,9.20,207.92,0.2000
25,500.00,306.32,9.20,210.75,0.2000
26,500.00,300.39,9.20,214.31,0.2000
27,500.00,281.68,9.20,229.44,0.2000
28,500.00,292.54,9.20,223.91,0.2000
29,500.00,310.76,9.20,204.33,0.2000
30,500.00,272.32,9.20,199.18,0.2000
31,500.00,290.96,9.20,211.62,0.2000
32,500.00,328.60,9.20,215.71,0.2000
33,500.00,272.61,9.20,211.40,0.2000
34,500.00,296.20,9.20,220.46,0.2000
35,500.00,310.43,9.20,217.30,0.2000
36,500.00,343.01,9.20,206.63,0.2000
37,500.00,365.65,9.20,184.55,0.2000
38,500.00,329.14,9.20,207.76,0.2000
39,500.00,287.93,9.20,216.15,0.2000
40,500.00,329.39,9.20,207.28,0.2000
41,500.00,307.72,9.20,208.16,0.2000
42,500.00,311.97,9.20,195.26,0.2000
43,500.00,302.02,9.20,208.22,0.2000
44,500.00,330.74,9.20,209.46,0.2000
45,500.00,367.66,9.20,188.64,0.2000
46,500.00,330.23,9.20,199.79,0.2000
47,500.00,324.22,9.20,215.30,0.2000
48,500.00,315.89,9.20,207.18,0.2000
49,500.00,312.18,9.20,206.66,0.2000
50,500.00,349.14,9.20,193.24,0.2000
51,500.00,351.03,9.20,192.09,0.2000
52,500.00,314.33,9.20,208.05,0.2000
53,500.00,321.08,9.20,204.66,0.2000
54,500.00,337.14,9.20,187.12,0.2000
55,500.00,320.21,9.20,193.88,0.2000
56,500.00,323.09,9.20,204.82,0.2000
57,500.00,260.78,9.20,221.88,0.2000
58,500.00,307.06,9.20,201.29,0.2000
59,500.00,307.17,9.20,200.49,0.2000
60,500.00,283.65,9.20,205.78,0.2000
61,500.00,305.50,9.20,222.28,0.2000
62,500.00,302.84,9.20,211.58,0.2000
63,500.00,299.99,9.20,209.03,0.2000
64,500.00,339.45,9.20,195.68,0.2000
65,500.00,370.12,9.20,178.12,0.2000
66,500.00,294.00,9.20,214.00,0.2000
67,500.00,310.64,9.20,211.05,0.2000
68,500.00,307.53,9.20,207.26,0.2000
69,500.00,251.55,9.20,215.68,0.2000
70,500.00,328.31,9.20,210.30,0.2000
71,500.00,324.09,9.20,203.46,0.2000
72,500.00,369.15,9.40,179.27,0.2000
73,500.00,397.19,9.60,159.47,0.2000
74,500.00,314.68,9.20,204.03,0.2000
75,500.00,322.89,9.20,215.65,0.2000
76,500.00,383.94,9.20,177.15,0.2000
77,500.00,342.08,9.20,200.26,0.2000
78,500.00,306.20,9.20,219.04,0.2000
79,500.00,294.01,9.20,210.99,0.2000
80,500.00,273.93,9.20,208.67,0.0000

DETALLE: Mutación Adaptativa (Exploración a Explotación)
Generación,Mejor Fitness,Fitness Promedio,Peor Fitness,Desv. Estándar,Fuerza Mutación
0,69.60,11.45,9.20,8.83,0.6000
1,500.00,24.18,9.20,64.67,0.5820
2,500.00,27.66,9.20,66.21,0.5645
3,500.00,27.73,9.20,66.08,0.5476
4,500.00,45.48,9.20,91.26,0.5312
5,500.00,64.85,9.20,109.46,0.5152
6,500.00,70.34,9.20,133.62,0.4998
7,500.00,62.40,9.20,119.22,0.4848
8,500.00,92.61,9.20,152.04,0.4702
9,500.00,76.81,9.20,127.64,0.4561
10,500.00,90.73,9.20,136.71,0.4425
11,500.00,66.69,9.20,115.34,0.4292
12,500.00,89.48,9.20,136.93,0.4163
13,500.00,134.58,9.20,174.08,0.4038
14,500.00,124.99,9.20,167.49,0.3917
15,500.00,129.90,9.20,179.24,0.3800
16,500.00,190.58,9.20,199.36,0.3686
17,500.00,168.85,9.20,201.23,0.3575
18,500.00,121.89,9.20,176.88,0.3468
19,500.00,220.69,9.20,214.96,0.3364
20,500.00,185.85,9.20,198.90,0.3263
21,500.00,234.01,9.20,210.51,0.3165
22,500.00,201.22,9.20,205.89,0.3070
23,500.00,216.48,9.20,189.50,0.2978
24,500.00,195.83,9.20,195.51,0.2889
25,500.00,224.71,9.20,205.60,0.2802
26,500.00,285.87,9.20,209.58,0.2718
27,500.00,300.96,9.20,213.20,0.2636
28,500.00,310.65,9.20,193.17,0.2557
29,500.00,257.52,9.20,208.56,0.2480
30,500.00,353.92,9.20,188.98,0.2406
31,500.00,348.44,9.20,201.25,0.2334
32,500.00,324.89,9.20,210.05,0.2264
